Gender,Age,Region,Diagnosis,2019,2020,2021,2022
Men,45-49 years,Region Sjælland,Diseases of the heart and great vessels,158,161,185,163
Men,45-49 years,Region Sjælland,"Diseases of arteries, veins, lymph",24,21,18,11
Men,45-49 years,Region Sjælland,Varicose veins in leg,0,0,0,0
Men,45-49 years,Region Sjælland,Diseases of blood and lymphatic tissue,16,11,16,31
Men,45-49 years,Region Sjælland,Diseases of the stomach and intestines,310,379,319,301
Men,45-49 years,Region Sjælland,Diseases of the urinary tract,82,96,75,96
Men,45-49 years,Region Sjælland,Diseases of the musculoskeletal system,130,136,145,116
Men,45-49 years,Region Sjælland,Diseases of female genital organs,0,0,0,0
Men,45-49 years,Region Sjælland,"Diseases of pregnancy, delivery and the perinatal period",0,0,0,0
Men,45-49 years,Region Sjælland,Diseases of the skin and venereal diseases,63,41,43,40
Men,45-49 years,Region Sjælland,Diseases of the eye,10,3,..,5
Men,45-49 years,Region Sjælland,"Diseases of ear, nose and throat",16,18,9,18
Men,45-49 years,Region Sjælland,"Endocrine, metabolic and chromosomic diseases",56,52,40,33
Men,45-49 years,Region Sjælland,Mental disorders,376,378,385,368
Men,45-49 years,Region Sjælland,Diseases of mamma,0,0,0,0
Men,45-49 years,Region Sjælland,Sterilization,0,0,0,0
Men,45-49 years,Region Sjælland,Concussion,3,5,6,..
Men,45-49 years,Region Sjælland,Poisonings,32,29,17,20
Men,45-49 years,Region Sjælland,Live-born children,0,0,0,0
Men,45-49 years,Region Sjælland,Other diseases,336,354,324,294
Men,45-49 years,Region Syddanmark,"Diagnosis, total",2016,2140,2153,2085
Men,45-49 years,Region Syddanmark,Infectious diseases,74,103,144,80
Men,45-49 years,Region Syddanmark,Diseases of lung,122,99,92,94
Men,45-49 years,Region Syddanmark,Diseases of the nervous system,97,120,111,119
Men,45-49 years,Region Syddanmark,Diseases of the heart and great vessels,128,136,141,143
Men,45-49 years,Region Syddanmark,"Diseases of arteries, veins, lymph",17,9,13,10
Men,45-49 years,Region Syddanmark,Varicose veins in leg,0,..,0,0
Men,45-49 years,Region Syddanmark,Diseases of blood and lymphatic tissue,13,11,12,14
Men,45-49 years,Region Syddanmark,Diseases of the stomach and intestines,316,303,332,379
Men,45-49 years,Region Syddanmark,Diseases of the urinary tract,91,78,89,107
Men,45-49 years,Region Syddanmark,Diseases of the musculoskeletal system,214,216,188,192
Men,45-49 years,Region Syddanmark,Diseases of female genital organs,0,0,0,0
Men,45-49 years,Region Syddanmark,"Diseases of pregnancy, delivery and the perinatal period",0,0,0,0
Men,45-49 years,Region Syddanmark,Diseases of the skin and venereal diseases,38,41,45,34
Men,45-49 years,Region Syddanmark,Diseases of the eye,3,5,6,4
Men,45-49 years,Region Syddanmark,"Diseases of ear, nose and throat",21,31,21,20
Men,45-49 years,Region Syddanmark,"Endocrine, metabolic and chromosomic diseases",41,51,44,50
Men,45-49 years,Region Syddanmark,Mental disorders,511,548,556,454
Men,45-49 years,Region Syddanmark,Diseases of mamma,0,0,0,..
Men,45-49 years,Region Syddanmark,Sterilization,0,0,0,0
Men,45-49 years,Region Syddanmark,Concussion,6,..,4,4
Men,45-49 years,Region Syddanmark,Poisonings,25,35,25,34
Men,45-49 years,Region Syddanmark,Live-born children,0,0,0,0
Men,45-49 years,Region Syddanmark,Other diseases,299,352,330,346
Men,45-49 years,Region Midtjylland,"Diagnosis, total",2130,2314,2059,2031
Men,45-49 years,Region Midtjylland,Infectious diseases,86,135,140,116
Men,45-49 years,Region Midtjylland,Diseases of lung,155,143,92,110
Men,45-49 years,Region Midtjylland,Diseases of the nervous system,101,134,110,113
Men,45-49 years,Region Midtjylland,Diseases of the heart and great vessels,162,164,170,150
Men,45-49 years,Region Midtjylland,"Diseases of arteries, veins, lymph",6,9,5,13
Men,45-49 years,Region Midtjylland,Varicose veins in leg,0,0,0,0
Men,45-49 years,Region Midtjylland,Diseases of blood and lymphatic tissue,17,28,28,14
Men,45-49 years,Region Midtjylland,Diseases of the stomach and intestines,373,356,383,363
Men,45-49 years,Region Midtjylland,Diseases of the urinary tract,82,105,112,87
Men,45-49 years,Region Midtjylland,Diseases of the musculoskeletal system,203,196,155,205
Men,45-49 years,Region Midtjylland,Diseases of female genital organs,0,0,0,0
Men,45-49 years,Region Midtjylland,"Diseases of pregnancy, delivery and the perinatal period",0,0,0,0
Men,45-49 years,Region Midtjylland,Diseases of the skin and venereal diseases,39,48,40,40
Men,45-49 years,Region Midtjylland,Diseases of the eye,3,4,4,5
Men,45-49 years,Region Midtjylland,"Diseases of ear, nose and throat",24,28,20,21
Men,45-49 years,Region Midtjylland,"Endocrine, metabolic and chromosomic diseases",55,67,51,47
Men,45-49 years,Region Midtjylland,Mental disorders,462,490,436,415
Men,45-49 years,Region Midtjylland,Diseases of mamma,0,0,0,0
Men,45-49 years,Region Midtjylland,Sterilization,0,0,0,0
Men,45-49 years,Region Midtjylland,Concussion,8,3,7,7
Men,45-49 years,Region Midtjylland,Poisonings,37,32,23,23
Men,45-49 years,Region Midtjylland,Live-born children,0,0,0,0
Men,45-49 years,Region Midtjylland,Other diseases,317,372,283,302
Men,45-49 years,Region Nordjylland,"Diagnosis, total",879,961,1027,965
Men,45-49 years,Region Nordjylland,Infectious diseases,37,40,43,52
Men,45-49 years,Region Nordjylland,Diseases of lung,37,51,44,35
Men,45-49 years,Region Nordjylland,Diseases of the nervous system,45,42,56,60
Men,45-49 years,Region Nordjylland,Diseases of the heart and great vessels,67,87,94,76
Men,45-49 years,Region Nordjylland,"Diseases of arteries, veins, lymph",10,5,5,..
Men,45-49 years,Region Nordjylland,Varicose veins in leg,0,0,0,0
Men,45-49 years,Region Nordjylland,Diseases of blood and lymphatic tissue,4,9,13,5
Men,45-49 years,Region Nordjylland,Diseases of the stomach and intestines,190,193,210,188
Men,45-49 years,Region Nordjylland,Diseases of the urinary tract,22,30,35,50
Men,45-49 years,Region Nordjylland,Diseases of the musculoskeletal system,75,98,107,67
Men,45-49 years,Region Nordjylland,Diseases of female genital organs,0,0,0,0
Men,45-49 years,Region Nordjylland,"Diseases of pregnancy, delivery and the perinatal period",0,0,0,0
Men,45-49 years,Region Nordjylland,Diseases of the skin and venereal diseases,14,16,34,23
Men,45-49 years,Region Nordjylland,Diseases of the eye,8,5,4,..
Men,45-49 years,Region Nordjylland,"Diseases of ear, nose and throat",16,13,6,21
Men,45-49 years,Region Nordjylland,"Endocrine, metabolic and chromosomic diseases",26,33,24,26
Men,45-49 years,Region Nordjylland,Mental disorders,161,146,163,186
Men,45-49 years,Region Nordjylland,Diseases of mamma,0,0,0,0
Men,45-49 years,Region Nordjylland,Sterilization,0,0,0,0
Men,45-49 years,Region Nordjylland,Concussion,..,..,5,..
Men,45-49 years,Region Nordjylland,Poisonings,13,11,10,13
Men,45-49 years,Region Nordjylland,Live-born children,0,0,0,0
Men,45-49 years,Region Nordjylland,Other diseases,153,181,174,158
Men,50-54 years,Region Hovedstaden,"Diagnosis, total",4678,4633,4323,3987
Men,50-54 years,Region Hovedstaden,Infectious diseases,190,281,324,161
Men,50-54 years,Region Hovedstaden,Diseases of lung,327,242,234,242
Men,50-54 years,Region Hovedstaden,Diseases of the nervous system,276,282,250,254
Men,50-54 years,Region Hovedstaden,Diseases of the heart and great vessels,442,474,427,452
Men,50-54 years,Region Hovedstaden,"Diseases of arteries, veins, lymph",62,44,52,42
Men,50-54 years,Region Hovedstaden,Varicose veins in leg,..,0,0,..
Men,50-54 years,Region Hovedstaden,Diseases of blood and lymphatic tissue,59,54,47,46
Men,50-54 years,Region Hovedstaden,Diseases of the stomach and intestines,697,644,650,532
Men,50-54 years,Region Hovedstaden,Diseases of the urinary tract,163,153,178,171
Men,50-54 years,Region Hovedstaden,Diseases of the musculoskeletal system,301,294,284,274
Men,50-54 years,Region Hovedstaden,Diseases of female genital organs,0,0,0,0
Men,50-54 years,Region Hovedstaden,"Diseases of pregnancy, delivery and the perinatal period",0,0,0,0
Men,50-54 years,Region Hovedstaden,Diseases of the skin and venereal diseases,84,85,81,81
Men,50-54 years,Region Hovedstaden,Diseases of the eye,27,34,14,6
Men,50-54 years,Region Hovedstaden,"Diseases of ear, nose and throat",47,45,47,50
Men,50-54 years,Region Hovedstaden,"Endocrine, metabolic and chromosomic diseases",106,119,109,85
Men,50-54 years,Region Hovedstaden,Mental disorders,1081,1049,863,864
Men,50-54 years,Region Hovedstaden,Diseases of mamma,0,0,0,0
Men,50-54 years,Region Hovedstaden,Sterilization,0,0,0,0
Men,50-54 years,Region Hovedstaden,Concussion,6,6,3,9
Men,50-54 years,Region Hovedstaden,Poisonings,69,48,47,55
Men,50-54 years,Region Hovedstaden,Live-born children,0,0,0,0
Men,50-54 years,Region Hovedstaden,Other diseases,740,779,713,661
Men,50-54 years,Region Sjælland,"Diagnosis, total",2443,2449,2283,2169
Men,50-54 years,Region Sjælland,Infectious diseases,116,133,157,126
Men,50-54 years,Region Sjælland,Diseases of lung,149,158,164,186
Men,50-54 years,Region Sjælland,Diseases of the nervous system,130,111,98,127
Men,50-54 years,Region Sjælland,Diseases of the heart and great vessels,242,267,252,217
Men,50-54 years,Region Sjælland,"Diseases of arteries, veins, lymph",28,39,26,15
Men,50-54 years,Region Sjælland,Varicose veins in leg,0,0,..,..
Men,50-54 years,Region Sjælland,Diseases of blood and lymphatic tissue,41,23,24,16
Men,50-54 years,Region Sjælland,Diseases of the stomach and intestines,452,420,424,375
Men,50-54 years,Region Sjælland,Diseases of the urinary tract,127,109,113,93
Men,50-54 years,Region Sjælland,Diseases of the musculoskeletal system,179,181,154,174
Men,50-54 years,Region Sjælland,Diseases of female genital organs,0,0,0,0
Men,50-54 years,Region Sjælland,"Diseases of pregnancy, delivery and the perinatal period",0,0,0,0
Men,50-54 years,Region Sjælland,Diseases of the skin and venereal diseases,40,41,44,36
Men,50-54 years,Region Sjælland,Diseases of the eye,10,7,..,5
Men,50-54 years,Region Sjælland,"Diseases of ear, nose and throat",23,18,12,18
Men,50-54 years,Region Sjælland,"Endocrine, metabolic and chromosomic diseases",83,66,46,57
Men,50-54 years,Region Sjælland,Mental disorders,395,386,320,302
Men,50-54 years,Region Sjælland,Diseases of mamma,0,0,0,0
Men,50-54 years,Region Sjælland,Sterilization,0,0,0,0
Men,50-54 years,Region Sjælland,Concussion,4,4,..,..
Men,50-54 years,Region Sjælland,Poisonings,23,28,16,23
Men,50-54 years,Region Sjælland,Live-born children,0,0,0,0
Men,50-54 years,Region Sjælland,Other diseases,401,458,428,397
Men,50-54 years,Region Syddanmark,"Diagnosis, total",2637,2954,2665,2606
Men,50-54 years,Region Syddanmark,Infectious diseases,92,122,152,112
Men,50-54 years,Region Syddanmark,Diseases of lung,171,200,205,157
Men,50-54 years,Region Syddanmark,Diseases of the nervous system,167,172,163,155
Men,50-54 years,Region Syddanmark,Diseases of the heart and great vessels,234,264,238,267
Men,50-54 years,Region Syddanmark,"Diseases of arteries, veins, lymph",12,7,13,13
Men,50-54 years,Region Syddanmark,Varicose veins in leg,..,..,0,0
Men,50-54 years,Region Syddanmark,Diseases of blood and lymphatic tissue,27,15,22,15
Men,50-54 years,Region Syddanmark,Diseases of the stomach and intestines,412,485,392,399
Men,50-54 years,Region Syddanmark,Diseases of the urinary tract,100,145,121,125
Men,50-54 years,Region Syddanmark,Diseases of the musculoskeletal system,237,280,237,243
Men,50-54 years,Region Syddanmark,Diseases of female genital organs,0,0,0,0
Men,50-54 years,Region Syddanmark,"Diseases of pregnancy, delivery and the perinatal period",0,0,0,0
Men,50-54 years,Region Syddanmark,Diseases of the skin and venereal diseases,41,38,37,41
Men,50-54 years,Region Syddanmark,Diseases of the eye,10,14,12,5
Men,50-54 years,Region Syddanmark,"Diseases of ear, nose and throat",30,24,31,32
Men,50-54 years,Region Syddanmark,"Endocrine, metabolic and chromosomic diseases",61,79,61,85
Men,50-54 years,Region Syddanmark,Mental disorders,545,546,494,472
Men,50-54 years,Region Syddanmark,Diseases of mamma,0,0,0,0
Men,50-54 years,Region Syddanmark,Sterilization,0,0,0,0
Men,50-54 years,Region Syddanmark,Concussion,7,9,4,..
Men,50-54 years,Region Syddanmark,Poisonings,39,29,29,31
Men,50-54 years,Region Syddanmark,Live-born children,0,0,0,0
Men,50-54 years,Region Syddanmark,Other diseases,451,524,454,453
Men,50-54 years,Region Midtjylland,"Diagnosis, total",2874,2798,2677,2527
Men,50-54 years,Region Midtjylland,Infectious diseases,125,176,164,176
Men,50-54 years,Region Midtjylland,Diseases of lung,239,183,191,141
Men,50-54 years,Region Midtjylland,Diseases of the nervous system,161,151,141,124
Men,50-54 years,Region Midtjylland,Diseases of the heart and great vessels,276,272,262,238
Men,50-54 years,Region Midtjylland,"Diseases of arteries, veins, lymph",17,12,17,11
Men,50-54 years,Region Midtjylland,Varicose veins in leg,0,..,..,0
Men,50-54 years,Region Midtjylland,Diseases of blood and lymphatic tissue,39,25,23,26
Men,50-54 years,Region Midtjylland,Diseases of the stomach and intestines,502,478,454,432
Men,50-54 years,Region Midtjylland,Diseases of the urinary tract,125,139,126,127
Men,50-54 years,Region Midtjylland,Diseases of the musculoskeletal system,249,214,224,220
Men,50-54 years,Region Midtjylland,Diseases of female genital organs,0,0,0,0
Men,50-54 years,Region Midtjylland,"Diseases of pregnancy, delivery and the perinatal period",0,0,0,0
Men,50-54 years,Region Midtjylland,Diseases of the skin and venereal diseases,41,38,45,51
Men,50-54 years,Region Midtjylland,Diseases of the eye,3,4,4,5
Men,50-54 years,Region Midtjylland,"Diseases of ear, nose and throat",40,24,25,38
Men,50-54 years,Region Midtjylland,"Endocrine, metabolic and chromosomic diseases",79,87,70,80
Men,50-54 years,Region Midtjylland,Mental disorders,464,465,474,412
Men,50-54 years,Region Midtjylland,Diseases of mamma,0,0,..,0
Men,50-54 years,Region Midtjylland,Sterilization,0,0,0,0
Men,50-54 years,Region Midtjylland,Concussion,11,6,7,6
Men,50-54 years,Region Midtjylland,Poisonings,29,30,28,30
Men,50-54 years,Region Midtjylland,Live-born children,0,0,0,0
Men,50-54 years,Region Midtjylland,Other diseases,474,493,420,410
Men,50-54 years,Region Nordjylland,"Diagnosis, total",1172,1351,1346,1280
Men,50-54 years,Region Nordjylland,Infectious diseases,55,53,72,72
Men,50-54 years,Region Nordjylland,Diseases of lung,93,67,76,71
Men,50-54 years,Region Nordjylland,Diseases of the nervous system,66,75,87,88
Men,50-54 years,Region Nordjylland,Diseases of the heart and great vessels,122,171,155,136
Men,50-54 years,Region Nordjylland,"Diseases of arteries, veins, lymph",5,10,..,8
Men,50-54 years,Region Nordjylland,Varicose veins in leg,0,0,..,0
Men,50-54 years,Region Nordjylland,Diseases of blood and lymphatic tissue,10,8,11,9
Men,50-54 years,Region Nordjylland,Diseases of the stomach and intestines,211,254,217,239
Men,50-54 years,Region Nordjylland,Diseases of the urinary tract,40,65,62,49
Men,50-54 years,Region Nordjylland,Diseases of the musculoskeletal system,111,100,105,119
Men,50-54 years,Region Nordjylland,Diseases of female genital organs,0,0,0,0
Men,50-54 years,Region Nordjylland,"Diseases of pregnancy, delivery and the perinatal period",0,0,0,0
Men,50-54 years,Region Nordjylland,Diseases of the skin and venereal diseases,24,15,28,23
Men,50-54 years,Region Nordjylland,Diseases of the eye,9,6,9,12
Men,50-54 years,Region Nordjylland,"Diseases of ear, nose and throat",19,19,16,13
Men,50-54 years,Region Nordjylland,"Endocrine, metabolic and chromosomic diseases",37,41,44,43
Men,50-54 years,Region Nordjylland,Mental disorders,139,167,194,154
Men,50-54 years,Region Nordjylland,Diseases of mamma,0,0,0,0
Men,50-54 years,Region Nordjylland,Sterilization,0,0,0,0
Men,50-54 years,Region Nordjylland,Concussion,..,..,..,..
Men,50-54 years,Region Nordjylland,Poisonings,19,25,12,15
Men,50-54 years,Region Nordjylland,Live-born children,0,0,0,0
Men,50-54 years,Region Nordjylland,Other diseases,210,273,253,227
Men,55-59 years,Region Hovedstaden,"Diagnosis, total",5316,5625,5646,5246
Men,55-59 years,Region Hovedstaden,Infectious diseases,265,372,434,295
Men,55-59 years,Region Hovedstaden,Diseases of lung,564,462,436,404
Men,55-59 years,Region Hovedstaden,Diseases of the nervous system,357,426,367,351
Men,55-59 years,Region Hovedstaden,Diseases of the heart and great vessels,604,668,652,613
Men,55-59 years,Region Hovedstaden,"Diseases of arteries, veins, lymph",50,70,61,54
Men,55-59 years,Region Hovedstaden,Varicose veins in leg,..,..,7,..
Men,55-59 years,Region Hovedstaden,Diseases of blood and lymphatic tissue,76,78,71,57
Men,55-59 years,Region Hovedstaden,Diseases of the stomach and intestines,686,747,840,779
Men,55-59 years,Region Hovedstaden,Diseases of the urinary tract,192,237,237,208
Men,55-59 years,Region Hovedstaden,Diseases of the musculoskeletal system,367,346,418,317
Men,55-59 years,Region Hovedstaden,Diseases of female genital organs,0,0,0,0
Men,55-59 years,Region Hovedstaden,"Diseases of pregnancy, delivery and the perinatal period",0,0,0,0
Men,55-59 years,Region Hovedstaden,Diseases of the skin and venereal diseases,85,75,74,74
Men,55-59 years,Region Hovedstaden,Diseases of the eye,53,29,19,12
Men,55-59 years,Region Hovedstaden,"Diseases of ear, nose and throat",52,54,33,51
Men,55-59 years,Region Hovedstaden,"Endocrine, metabolic and chromosomic diseases",129,146,133,124
Men,55-59 years,Region Hovedstaden,Mental disorders,842,900,888,958
Men,55-59 years,Region Hovedstaden,Diseases of mamma,0,0,0,0
Men,55-59 years,Region Hovedstaden,Sterilization,0,0,0,0
Men,55-59 years,Region Hovedstaden,Concussion,10,10,11,14
Men,55-59 years,Region Hovedstaden,Poisonings,68,59,62,63
Men,55-59 years,Region Hovedstaden,Live-born children,0,0,0,0
Men,55-59 years,Region Hovedstaden,Other diseases,915,944,903,871
Men,55-59 years,Region Sjælland,"Diagnosis, total",2687,2872,3164,3041
Men,55-59 years,Region Sjælland,Infectious diseases,126,181,209,185
Men,55-59 years,Region Sjælland,Diseases of lung,295,271,277,233
Men,55-59 years,Region Sjælland,Diseases of the nervous system,144,153,174,151
Men,55-59 years,Region Sjælland,Diseases of the heart and great vessels,300,306,384,390
Men,55-59 years,Region Sjælland,"Diseases of arteries, veins, lymph",42,41,40,43
Men,55-59 years,Region Sjælland,Varicose veins in leg,0,0,..,3
Men,55-59 years,Region Sjælland,Diseases of blood and lymphatic tissue,54,54,52,43
Men,55-59 years,Region Sjælland,Diseases of the stomach and intestines,361,407,436,472
Men,55-59 years,Region Sjælland,Diseases of the urinary tract,138,135,170,156
Men,55-59 years,Region Sjælland,Diseases of the musculoskeletal system,232,185,226,247
Men,55-59 years,Region Sjælland,Diseases of female genital organs,0,0,0,0
Men,55-59 years,Region Sjælland,"Diseases of pregnancy, delivery and the perinatal period",0,0,0,0
Men,55-59 years,Region Sjælland,Diseases of the skin and venereal diseases,51,38,52,42
Men,55-59 years,Region Sjælland,Diseases of the eye,7,6,4,6
Men,55-59 years,Region Sjælland,"Diseases of ear, nose and throat",32,16,25,19
Men,55-59 years,Region Sjælland,"Endocrine, metabolic and chromosomic diseases",91,77,85,99
Men,55-59 years,Region Sjælland,Mental disorders,268,374,414,406
Men,55-59 years,Region Sjælland,Diseases of mamma,0,0,0,0
Men,55-59 years,Region Sjælland,Sterilization,0,0,0,0
Men,55-59 years,Region Sjælland,Concussion,6,5,6,6
Men,55-59 years,Region Sjælland,Poisonings,28,20,28,30
Men,55-59 years,Region Sjælland,Live-born children,0,0,0,0
Men,55-59 years,Region Sjælland,Other diseases,512,603,580,510
Men,55-59 years,Region Syddanmark,"Diagnosis, total",2909,3245,3204,3444
Men,55-59 years,Region Syddanmark,Infectious diseases,129,165,201,202
Men,55-59 years,Region Syddanmark,Diseases of lung,253,271,229,299
Men,55-59 years,Region Syddanmark,Diseases of the nervous system,181,231,233,236
Men,55-59 years,Region Syddanmark,Diseases of the heart and great vessels,282,398,337,398
Men,55-59 years,Region Syddanmark,"Diseases of arteries, veins, lymph",23,21,30,29
Men,55-59 years,Region Syddanmark,Varicose veins in leg,0,0,..,0
Men,55-59 years,Region Syddanmark,Diseases of blood and lymphatic tissue,19,26,27,28
Men,55-59 years,Region Syddanmark,Diseases of the stomach and intestines,422,458,486,566
Men,55-59 years,Region Syddanmark,Diseases of the urinary tract,152,150,180,176
Men,55-59 years,Region Syddanmark,Diseases of the musculoskeletal system,272,259,283,299
Men,55-59 years,Region Syddanmark,Diseases of female genital organs,0,0,0,0
Men,55-59 years,Region Syddanmark,"Diseases of pregnancy, delivery and the perinatal period",0,0,0,0
Men,55-59 years,Region Syddanmark,Diseases of the skin and venereal diseases,43,61,49,36
Men,55-59 years,Region Syddanmark,Diseases of the eye,11,8,6,3
Men,55-59 years,Region Syddanmark,"Diseases of ear, nose and throat",33,40,34,57
Men,55-59 years,Region Syddanmark,"Endocrine, metabolic and chromosomic diseases",106,113,82,125
Men,55-59 years,Region Syddanmark,Mental disorders,417,440,422,332
Men,55-59 years,Region Syddanmark,Diseases of mamma,0,0,0,0
Men,55-59 years,Region Syddanmark,Sterilization,0,0,0,0
Men,55-59 years,Region Syddanmark,Concussion,12,8,10,4
Men,55-59 years,Region Syddanmark,Poisonings,27,18,20,28
Men,55-59 years,Region Syddanmark,Live-born children,0,0,0,0
Men,55-59 years,Region Syddanmark,Other diseases,527,578,574,626
Men,55-59 years,Region Midtjylland,"Diagnosis, total",3023,3439,3311,3354
Men,55-59 years,Region Midtjylland,Infectious diseases,157,235,243,248
Men,55-59 years,Region Midtjylland,Diseases of lung,300,312,281,278
Men,55-59 years,Region Midtjylland,Diseases of the nervous system,188,199,201,179
Men,55-59 years,Region Midtjylland,Diseases of the heart and great vessels,331,405,339,351
Men,55-59 years,Region Midtjylland,"Diseases of arteries, veins, lymph",21,29,21,23
Men,55-59 years,Region Midtjylland,Varicose veins in leg,..,0,..,0
Men,55-59 years,Region Midtjylland,Diseases of blood and lymphatic tissue,39,43,47,46
Men,55-59 years,Region Midtjylland,Diseases of the stomach and intestines,486,517,538,560
Men,55-59 years,Region Midtjylland,Diseases of the urinary tract,138,208,177,181
Men,55-59 years,Region Midtjylland,Diseases of the musculoskeletal system,280,274,250,267
Men,55-59 years,Region Midtjylland,Diseases of female genital organs,0,0,0,0
Men,55-59 years,Region Midtjylland,"Diseases of pregnancy, delivery and the perinatal period",0,0,0,0
Men,55-59 years,Region Midtjylland,Diseases of the skin and venereal diseases,41,38,42,58
Men,55-59 years,Region Midtjylland,Diseases of the eye,5,4,3,5
Men,55-59 years,Region Midtjylland,"Diseases of ear, nose and throat",37,45,36,48
Men,55-59 years,Region Midtjylland,"Endocrine, metabolic and chromosomic diseases",87,119,99,96
Men,55-59 years,Region Midtjylland,Mental disorders,329,356,422,436
Men,55-59 years,Region Midtjylland,Diseases of mamma,..,..,0,0
Men,55-59 years,Region Midtjylland,Sterilization,0,0,0,0
Men,55-59 years,Region Midtjylland,Concussion,7,9,8,9
Men,55-59 years,Region Midtjylland,Poisonings,26,39,31,31
Men,55-59 years,Region Midtjylland,Live-born children,0,0,0,0
Men,55-59 years,Region Midtjylland,Other diseases,549,606,572,538
Men,55-59 years,Region Nordjylland,"Diagnosis, total",1535,1740,1784,1721
Men,55-59 years,Region Nordjylland,Infectious diseases,82,85,103,106
Men,55-59 years,Region Nordjylland,Diseases of lung,152,145,169,139
Men,55-59 years,Region Nordjylland,Diseases of the nervous system,116,129,132,127
Men,55-59 years,Region Nordjylland,Diseases of the heart and great vessels,183,212,226,195
Men,55-59 years,Region Nordjylland,"Diseases of arteries, veins, lymph",..,4,10,6
Men,55-59 years,Region Nordjylland,Varicose veins in leg,..,0,0,..
Men,55-59 years,Region Nordjylland,Diseases of blood and lymphatic tissue,18,15,23,33
Men,55-59 years,Region Nordjylland,Diseases of the stomach and intestines,239,304,280,289
Men,55-59 years,Region Nordjylland,Diseases of the urinary tract,71,67,57,71
Men,55-59 years,Region Nordjylland,Diseases of the musculoskeletal system,121,134,154,122
Men,55-59 years,Region Nordjylland,Diseases of female genital organs,0,0,0,0
Men,55-59 years,Region Nordjylland,"Diseases of pregnancy, delivery and the perinatal period",0,0,0,0
Men,55-59 years,Region Nordjylland,Diseases of the skin and venereal diseases,23,27,24,35
Men,55-59 years,Region Nordjylland,Diseases of the eye,10,10,20,12
Men,55-59 years,Region Nordjylland,"Diseases of ear, nose and throat",11,23,9,23
Men,55-59 years,Region Nordjylland,"Endocrine, metabolic and chromosomic diseases",61,57,66,53
Men,55-59 years,Region Nordjylland,Mental disorders,150,173,161,169
Men,55-59 years,Region Nordjylland,Diseases of mamma,0,0,0,0
Men,55-59 years,Region Nordjylland,Sterilization,..,0,0,0
Men,55-59 years,Region Nordjylland,Concussion,6,5,5,..
Men,55-59 years,Region Nordjylland,Poisonings,18,14,9,17
Men,55-59 years,Region Nordjylland,Live-born children,0,0,0,0
Men,55-59 years,Region Nordjylland,Other diseases,270,336,336,321
Men,60-64 years,Region Hovedstaden,"Diagnosis, total",5725,5799,5899,5537
Men,60-64 years,Region Hovedstaden,Infectious diseases,306,435,457,359
Men,60-64 years,Region Hovedstaden,Diseases of lung,769,617,524,568
Men,60-64 years,Region Hovedstaden,Diseases of the nervous system,362,417,435,420
Men,60-64 years,Region Hovedstaden,Diseases of the heart and great vessels,780,764,826,727
Men,60-64 years,Region Hovedstaden,"Diseases of arteries, veins, lymph",54,60,82,56
Men,60-64 years,Region Hovedstaden,Varicose veins in leg,..,..,..,..
Men,60-64 years,Region Hovedstaden,Diseases of blood and lymphatic tissue,98,103,95,75
Men,60-64 years,Region Hovedstaden,Diseases of the stomach and intestines,727,759,788,804
Men,60-64 years,Region Hovedstaden,Diseases of the urinary tract,277,259,288,298
Men,60-64 years,Region Hovedstaden,Diseases of the musculoskeletal system,374,348,371,369
Men,60-64 years,Region Hovedstaden,Diseases of female genital organs,0,0,0,0
Men,60-64 years,Region Hovedstaden,"Diseases of pregnancy, delivery and the perinatal period",0,0,0,0
Men,60-64 years,Region Hovedstaden,Diseases of the skin and venereal diseases,70,59,77,68
Men,60-64 years,Region Hovedstaden,Diseases of the eye,56,31,12,10
Men,60-64 years,Region Hovedstaden,"Diseases of ear, nose and throat",60,50,53,57
Men,60-64 years,Region Hovedstaden,"Endocrine, metabolic and chromosomic diseases",184,206,166,171
Men,60-64 years,Region Hovedstaden,Mental disorders,596,629,599,584
Men,60-64 years,Region Hovedstaden,Diseases of mamma,0,..,0,0
Men,60-64 years,Region Hovedstaden,Sterilization,0,0,0,0
Men,60-64 years,Region Hovedstaden,Concussion,5,8,11,10
Men,60-64 years,Region Hovedstaden,Poisonings,62,50,45,48
Men,60-64 years,Region Hovedstaden,Live-born children,0,0,0,0
Men,60-64 years,Region Hovedstaden,Other diseases,944,1001,1069,912
Men,60-64 years,Region Sjælland,"Diagnosis, total",3058,3381,3305,3418
Men,60-64 years,Region Sjælland,Infectious diseases,151,241,235,228
Men,60-64 years,Region Sjælland,Diseases of lung,418,368,392,397
Men,60-64 years,Region Sjælland,Diseases of the nervous system,175,206,177,249
Men,60-64 years,Region Sjælland,Diseases of the heart and great vessels,396,416,450,439
Men,60-64 years,Region Sjælland,"Diseases of arteries, veins, lymph",38,31,38,38
Men,60-64 years,Region Sjælland,Varicose veins in leg,..,0,..,..
Men,60-64 years,Region Sjælland,Diseases of blood and lymphatic tissue,84,83,85,73
Men,60-64 years,Region Sjælland,Diseases of the stomach and intestines,430,474,403,465
Men,60-64 years,Region Sjælland,Diseases of the urinary tract,152,190,191,208
Men,60-64 years,Region Sjælland,Diseases of the musculoskeletal system,216,240,250,241
Men,60-64 years,Region Sjælland,Diseases of female genital organs,0,0,0,0
Men,60-64 years,Region Sjælland,"Diseases of pregnancy, delivery and the perinatal period",0,..,0,0
Men,60-64 years,Region Sjælland,Diseases of the skin and venereal diseases,34,47,38,42
